Dye_ID,Category,abs_max_nm,mol_weight_gmol
K01,cyanines,524.25,327.451
K02,cyanines,603.5,353.48900000000003
K03,cyanines,711.0,379.5270000000001
K04,cyanines,592.0,327.451
K05,cyanines,709.5,353.4890000000001
K06,cyanines,247.0,379.5270000000001
K07,cyanines,485.0,333.41100000000006
K08,cyanines,582.0,359.44900000000007
K09,cyanines,687.5,385.48700000000014
K10,cyanines,544.25,385.5750000000001
K11,cyanines,637.5,411.61300000000017
K12,cyanines,742.25,437.6510000000002
K13,cyanines,789.0,751.991
K14,cyanines,559.25,365.547
K15,cyanines,655.75,391.5850000000001
K16,cyanines,763.25,417.62300000000016
K17,cyanines,559.5,546.6910000000005
K18,cyanines,468.0,303.36500000000007
K19,cyanines,575.5,479.69400000000024
I01,acridines,247.0,179.22199999999998
I02,acridines,261.0,209.25199999999998
I03,acridines,430.75,265.36
I04,acridines,461.25,237.30599999999998
I05,acridines,356.0,195.221
I06,acridines,363.0,180.20999999999998
I07,acridines,533.0,287.346
I08,acridines,461.0,252.321
I09,acridines,587.0,475.6200000000002
I10,acridines,316.0,199.278
I11,acridines,605.0,228.3
I12,acridines,656.0,284.40799999999996
I13,acridines,654.0,270.381
I14,acridines,628.0,270.38100000000003
I15,acridines,294.0,200.262
I16,acridines,319.0,183.20999999999998
I17,acridines,642.5,324.4480000000001
I18,acridines,603.0,262.292
I19,acridines,519.4,318.3760000000001
I20,acridines,627.5,318.4000000000001
I21,acridines,613.25,332.42700000000013
I22,unknown,275.0,229.282
